id,name,category,description,milestone_title,milestone_timeline,milestone_progress,cta_primary_label,cta_primary_href,cta_primary_helper,cta_secondary_label,cta_secondary_href,cta_secondary_helper
wavewarz,WaveWarZ,Platforms,Battle-style music competition platform where artists compete for community votes.,Bracket Seeding Algorithm,2 Weeks,85,Enter Arena,https://www.wavyfans.net/wavewarz,Compete in battles,About,https://thezao.com,How it works
zao-fractal,ZAO Fractal,Ecosystem,Decentralized governance and decision-making framework.,Governance Dashboard v1,3 Weeks,75,Governance,https://nexus.thezao.com,Vote on proposals,Docs,https://thezao.com,Read the whitepaper
zao-festivals,ZAO Festivals,Community,IRL and virtual festival experiences connecting artists globally.,Venue Partnerships,Ongoing,90,Get Updates,https://paragraph.xyz/@thezao,Join the list,Archives,https://thezao.com,Past events
zao-cards,ZAO Cards,Ecosystem,Collectible artist cards unlocking exclusive content.,Metadata Standard,Done,100,Collect,https://zao.cards,Browse cards,Create,https://nexus.thezao.com,For artists
coc-concertz,COC Concertz,Community,Curated concert series for emerging independent artists.,Spring Season Booking,1 Month,40,Apply,https://nexus.thezao.com,Perform live,Calendar,https://thezao.com,Upcoming shows
zao-newsletter,ZAO Newsletter,Community,Weekly ecosystem updates and artist spotlights.,Subscriber Growth,Continuous,78,Read,https://paragraph.xyz/@thezao,Latest issue,Subscribe,https://paragraph.xyz/@thezao,Get updates
student-loanz,Student $LOANZ,Platforms,Financial support for music education and equipment.,Eligibility Checker,3 Weeks,55,Apply,https://nexus.thezao.com,Get funded,Support,https://thezao.com,Donate
zao-calendar,ZAO Calendar,Ecosystem,Unified event calendar for the ecosystem.,Google Cal Sync,1 Week,85,View,https://nexus.thezao.com,All events,Submit,https://nexus.thezao.com,Add event
lets-talk-web3,Let's Talk About Web3,Community,Educational series demystifying blockchain.,Episode 10 Production,This Week,95,Watch,https://thezao.com,Start learning,Suggest,https://nexus.thezao.com,Topic ideas
midi-zao-nkz,Midi-ZAO-NKZ,Platforms,MIDI-powered creative tools for producers.,Core Audio Engine,1 Month,40,Beta Access,https://nexus.thezao.com,Try it out,Learn,https://thezao.com,More info
